country_iso2	report_year	haz_waste_tonnes	prev_period_tonnes	change_vs_prev_period_pct	rank_in_year
BG	2022	14520107	13951855	4.07	1
PL	2022	2092796	2254849	-7.19	2
CZ	2022	1557261	1759505	-11.49	3
EE	2022	1524049	1592192	-4.28	4
RO	2022	1090666	774611	40.8	5
HU	2022	594018	575967	3.13	6
SK	2022	492117	435870	12.9	7
LT	2022	239368	257580	-7.07	8
HR	2022	180041	186955	-3.7	9
SI	2022	133990	132590	1.06	10
LV	2022	57668	141420	-59.22	11
BG	2020	13951855	13432069	3.87	1
PL	2020	2254849	3804729	-40.74	2
CZ	2020	1759505	1690096	4.11	3
EE	2020	1592192	10880288	-85.37	4
RO	2020	774611	736850	5.12	5
HU	2020	575967	542845	6.1	6
SK	2020	435870	450121	-3.17	7
LT	2020	257580	192864	33.56	8
HR	2020	186955	174350	7.23	9
LV	2020	141420	77334	82.87	10
SI	2020	132590	128976	2.8	11
BG	2018	13432069	13328437	0.78	1
EE	2018	10880288	9682164	12.37	2
PL	2018	3804729	1917134	98.46	3
CZ	2018	1690096	1088714	55.24	4
RO	2018	736850	624979	17.9	5
HU	2018	542845	451910	20.12	6
SK	2018	450121	496126	-9.27	7
LT	2018	192864	175951	9.61	8
HR	2018	174350	174325	0.01	9
SI	2018	128976	123617	4.34	10
LV	2018	77334	66225	16.77	11
BG	2016	13328437	12206169	9.19	1
EE	2016	9682164	10410322	-6.99	2
PL	2016	1917134	1681037	14.04	3
CZ	2016	1088714	1162342	-6.33	4
RO	2016	624979	590299	5.87	5
SK	2016	496126	371214	33.65	6
HU	2016	451910	596554	-24.25	7
LT	2016	175951	165477	6.33	8
HR	2016	174325	130240	33.85	9
SI	2016	123617	155229	-20.36	10
LV	2016	66225	104142	-36.41	11
BG	2014	12206169	13407042	-8.96	1
EE	2014	10410322	9159140	13.66	2
PL	2014	1681037	1737024	-3.22	3
CZ	2014	1162342	1481281	-21.53	4
HU	2014	596554	700246	-14.81	5
RO	2014	590299	689251	-14.36	6
SK	2014	371214	370223	0.27	7
LT	2014	165477	136786	20.98	8
SI	2014	155229	133334	16.42	9
HR	2014	130240	121419	7.26	10
LV	2014	104142	95115	9.49	11
BG	2012	13407042	13553483	-1.08	1
EE	2012	9159140	8961708	2.2	2
PL	2012	1737024	1491845	16.43	3
CZ	2012	1481281	1362864	8.69	4
HU	2012	700246	540599	29.53	5
RO	2012	689251	695689	-0.93	6
SK	2012	370223	415479	-10.89	7
LT	2012	136786	105323	29.87	8
SI	2012	133334	117180	13.79	9
HR	2012	121419	72553	67.35	10
LV	2012	95115	67907	40.07	11
BG	2010	13553483	13041733	3.92	1
EE	2010	8961708	7526406	19.07	2
PL	2010	1491845	1153627	29.32	3
CZ	2010	1362864	1029277	32.41	4
RO	2010	695689	520739	33.6	5
HU	2010	540599	456542	18.41	6
SK	2010	415479	482631	-13.91	7
SI	2010	117180	143545	-18.37	8
LT	2010	105323	107381	-1.92	9
HR	2010	72553	219044	-66.88	10
LV	2010	67907	66773	1.7	11
BG	2008	13041733	13550615	-3.76	1
EE	2008	7526406	6613406	13.81	2
PL	2008	1153627	2178125	-47.04	3
CZ	2008	1029277	909851	13.13	4
RO	2008	520739	1041178	-49.99	5
SK	2008	482631	479470	0.66	6
HU	2008	456542	525822	-13.18	7
HR	2008	219044	332279	-34.08	8
SI	2008	143545	113557	26.41	9
LT	2008	107381	87203	23.14	10
LV	2008	66773	65052	2.65	11
BG	2006	13550615	11897793	13.89	1
EE	2006	6613406	7328288	-9.76	2
PL	2006	2178125	1524042	42.92	3
RO	2006	1041178	2292012	-54.57	4
CZ	2006	909851	1146503	-20.64	5
HU	2006	525822	1102642	-52.31	6
SK	2006	479470	380224	26.1	7
HR	2006	332279	99127	235.21	8
SI	2006	113557	107292	5.84	9
LT	2006	87203	90146	-3.26	10
LV	2006	65052	16547	293.13	11
BG	2004	11897793	NULL	NULL	1
EE	2004	7328288	NULL	NULL	2
RO	2004	2292012	NULL	NULL	3
PL	2004	1524042	NULL	NULL	4
CZ	2004	1146503	NULL	NULL	5
HU	2004	1102642	NULL	NULL	6
SK	2004	380224	NULL	NULL	7
SI	2004	107292	NULL	NULL	8
HR	2004	99127	NULL	NULL	9
LT	2004	90146	NULL	NULL	10
LV	2004	16547	NULL	NULL	11
