country,report_year,generated_tonnes,treated_tonnes,treatment_coverage_pct,coverage_category
Slovakia,2022,492117,139302,28.3,Low <60%
Latvia,2022,57668,17085,29.6,Low <60%
Czechia,2022,1557261,561689,36.1,Low <60%
Lithuania,2022,239368,97695,40.8,Low <60%
Slovenia,2022,133990,54634,40.8,Low <60%
Romania,2022,1090666,468562,43,Low <60%
Croatia,2022,180041,97548,54.2,Low <60%
Poland,2022,2092796,1596539,76.3,Medium 60-90%
Hungary,2022,594018,522378,87.9,Medium 60-90%
Bulgaria,2022,14520107,13664910,94.1,High >=90%
Estonia,2022,1524049,1460658,95.8,High >=90%
Latvia,2020,141420,29714,21,Low <60%
Slovakia,2020,435870,122686,28.1,Low <60%
Czechia,2020,1759505,629832,35.8,Low <60%
Lithuania,2020,257580,111292,43.2,Low <60%
Slovenia,2020,132590,61234,46.2,Low <60%
Romania,2020,774611,374814,48.4,Low <60%
Croatia,2020,186955,105625,56.5,Low <60%
Poland,2020,2254849,1616874,71.7,Medium 60-90%
Hungary,2020,575967,421202,73.1,Medium 60-90%
Estonia,2020,1592192,1474556,92.6,High >=90%
Bulgaria,2020,13951855,13791874,98.9,High >=90%
Slovakia,2018,450121,153138,34,Low <60%
Czechia,2018,1690096,615884,36.4,Low <60%
Lithuania,2018,192864,73090,37.9,Low <60%
Croatia,2018,174350,80637,46.3,Low <60%
Latvia,2018,77334,39571,51.2,Low <60%
Poland,2018,3804729,2184119,57.4,Low <60%
Slovenia,2018,128976,76572,59.4,Low <60%
Hungary,2018,542845,384006,70.7,Medium 60-90%
Romania,2018,736850,536333,72.8,Medium 60-90%
Estonia,2018,10880288,10729229,98.6,High >=90%
Bulgaria,2018,13432069,13557932,100.9,High >=90%
Latvia,2016,66225,20491,30.9,Low <60%
Slovakia,2016,496126,171035,34.5,Low <60%
Lithuania,2016,175951,61179,34.8,Low <60%
Croatia,2016,174325,75892,43.5,Low <60%
Czechia,2016,1088714,529490,48.6,Low <60%
Romania,2016,624979,348386,55.7,Low <60%
Slovenia,2016,123617,76726,62.1,Medium 60-90%
Poland,2016,1917134,1391428,72.6,Medium 60-90%
Hungary,2016,451910,341660,75.6,Medium 60-90%
Bulgaria,2016,13328437,13177710,98.9,High >=90%
Estonia,2016,9682164,9590378,99.1,High >=90%
Lithuania,2014,165477,55457,33.5,Low <60%
Latvia,2014,104142,43375,41.6,Low <60%
Croatia,2014,130240,66055,50.7,Low <60%
Czechia,2014,1162342,597309,51.4,Low <60%
Slovakia,2014,371214,201819,54.4,Low <60%
Slovenia,2014,155229,91696,59.1,Low <60%
Hungary,2014,596554,372580,62.5,Medium 60-90%
Romania,2014,590299,500394,84.8,Medium 60-90%
Estonia,2014,10410322,10315094,99.1,High >=90%
Bulgaria,2014,12206169,12176438,99.8,High >=90%
Poland,2014,1681037,1876577,111.6,High >=90%
Latvia,2012,95115,41749,43.9,Low <60%
Czechia,2012,1481281,753402,50.9,Low <60%
Lithuania,2012,136786,70246,51.4,Low <60%
Hungary,2012,700246,376811,53.8,Low <60%
Slovakia,2012,370223,199393,53.9,Low <60%
Slovenia,2012,133334,73702,55.3,Low <60%
Croatia,2012,121419,73404,60.5,Medium 60-90%
Poland,2012,1737024,1434985,82.6,Medium 60-90%
Romania,2012,689251,620287,90,Medium 60-90%
Estonia,2012,9159140,9131275,99.7,High >=90%
Bulgaria,2012,13407042,13389620,99.9,High >=90%
Lithuania,2010,105323,48853,46.4,Low <60%
Slovakia,2010,415479,223808,53.9,Low <60%
Czechia,2010,1362864,831600,61,Medium 60-90%
Romania,2010,695689,431080,62,Medium 60-90%
Hungary,2010,540599,373999,69.2,Medium 60-90%
Latvia,2010,67907,54193,79.8,Medium 60-90%
Slovenia,2010,117180,100898,86.1,Medium 60-90%
Croatia,2010,72553,68554,94.5,High >=90%
Estonia,2010,8961708,8928558,99.6,High >=90%
Bulgaria,2010,13553483,13561160,100.1,High >=90%
Poland,2010,1491845,1577966,105.8,High >=90%
Croatia,2008,219044,18364,8.4,Low <60%
Lithuania,2008,107381,19927,18.6,Low <60%
Romania,2008,520739,259924,49.9,Low <60%
Slovakia,2008,482631,355772,73.7,Medium 60-90%
Slovenia,2008,143545,116326,81,Medium 60-90%
Czechia,2008,1029277,834798,81.1,Medium 60-90%
Hungary,2008,456542,449610,98.5,High >=90%
Bulgaria,2008,13041733,13037033,100,High >=90%
Latvia,2008,66773,67877,101.7,High >=90%
Estonia,2008,7526406,7708801,102.4,High >=90%
Poland,2008,1153627,1624573,140.8,High >=90%
Lithuania,2006,87203,28101,32.2,Low <60%
Czechia,2006,909851,572497,62.9,Medium 60-90%
Slovakia,2006,479470,367801,76.7,Medium 60-90%
Slovenia,2006,113557,87308,76.9,Medium 60-90%
Latvia,2006,65052,52242,80.3,Medium 60-90%
Romania,2006,1041178,867602,83.3,Medium 60-90%
Bulgaria,2006,13550615,13474505,99.4,High >=90%
Estonia,2006,6613406,6864430,103.8,High >=90%
Poland,2006,2178125,2277779,104.6,High >=90%
Croatia,2006,332279,623383,187.6,High >=90%
Hungary,2006,525822,1179859,224.4,High >=90%
Hungary,2004,1102642,325032,29.5,Low <60%
Lithuania,2004,90146,38081,42.2,Low <60%
Croatia,2004,99127,42636,43,Low <60%
Czechia,2004,1146503,648497,56.6,Low <60%
Romania,2004,2292012,1697100,74,Medium 60-90%
Slovenia,2004,107292,99042,92.3,High >=90%
Estonia,2004,7328288,7180381,98,High >=90%
Bulgaria,2004,11897793,12090994,101.6,High >=90%
Poland,2004,1524042,1575748,103.4,High >=90%
Slovakia,2004,380224,439390,115.6,High >=90%
Latvia,2004,16547,57791,349.3,High >=90%
