country,report_year,generated_tonnes,treated_tonnes,capacity_gap_tonnes,gap_rank,gap_severity
Czechia,2022,1557261,561689,995572,1,Critical  >500k t
Bulgaria,2022,14520107,13664910,855197,2,Critical  >500k t
Romania,2022,1090666,468562,622104,3,Critical  >500k t
Poland,2022,2092796,1596539,496257,4,High  100k-500k t
Slovakia,2022,492117,139302,352815,5,High  100k-500k t
Lithuania,2022,239368,97695,141673,6,High  100k-500k t
Croatia,2022,180041,97548,82493,7,Moderate  <100k t
Slovenia,2022,133990,54634,79356,8,Moderate  <100k t
Hungary,2022,594018,522378,71640,9,Moderate  <100k t
Estonia,2022,1524049,1460658,63391,10,Moderate  <100k t
Latvia,2022,57668,17085,40583,11,Moderate  <100k t
Czechia,2020,1759505,629832,1129673,1,Critical  >500k t
Poland,2020,2254849,1616874,637975,2,Critical  >500k t
Romania,2020,774611,374814,399797,3,High  100k-500k t
Slovakia,2020,435870,122686,313184,4,High  100k-500k t
Bulgaria,2020,13951855,13791874,159981,5,High  100k-500k t
Hungary,2020,575967,421202,154765,6,High  100k-500k t
Lithuania,2020,257580,111292,146288,7,High  100k-500k t
Estonia,2020,1592192,1474556,117636,8,High  100k-500k t
Latvia,2020,141420,29714,111706,9,High  100k-500k t
Croatia,2020,186955,105625,81330,10,Moderate  <100k t
Slovenia,2020,132590,61234,71356,11,Moderate  <100k t
Poland,2018,3804729,2184119,1620610,1,Critical  >500k t
Czechia,2018,1690096,615884,1074212,2,Critical  >500k t
Slovakia,2018,450121,153138,296983,3,High  100k-500k t
Romania,2018,736850,536333,200517,4,High  100k-500k t
Hungary,2018,542845,384006,158839,5,High  100k-500k t
Estonia,2018,10880288,10729229,151059,6,High  100k-500k t
Lithuania,2018,192864,73090,119774,7,High  100k-500k t
Croatia,2018,174350,80637,93713,8,Moderate  <100k t
Slovenia,2018,128976,76572,52404,9,Moderate  <100k t
Latvia,2018,77334,39571,37763,10,Moderate  <100k t
Bulgaria,2018,13432069,13557932,-125863,11,No gap / surplus capacity
Czechia,2016,1088714,529490,559224,1,Critical  >500k t
Poland,2016,1917134,1391428,525706,2,Critical  >500k t
Slovakia,2016,496126,171035,325091,3,High  100k-500k t
Romania,2016,624979,348386,276593,4,High  100k-500k t
Bulgaria,2016,13328437,13177710,150727,5,High  100k-500k t
Lithuania,2016,175951,61179,114772,6,High  100k-500k t
Hungary,2016,451910,341660,110250,7,High  100k-500k t
Croatia,2016,174325,75892,98433,8,Moderate  <100k t
Estonia,2016,9682164,9590378,91786,9,Moderate  <100k t
Slovenia,2016,123617,76726,46891,10,Moderate  <100k t
Latvia,2016,66225,20491,45734,11,Moderate  <100k t
Czechia,2014,1162342,597309,565033,1,Critical  >500k t
Hungary,2014,596554,372580,223974,2,High  100k-500k t
Slovakia,2014,371214,201819,169395,3,High  100k-500k t
Lithuania,2014,165477,55457,110020,4,High  100k-500k t
Estonia,2014,10410322,10315094,95228,5,Moderate  <100k t
Romania,2014,590299,500394,89905,6,Moderate  <100k t
Croatia,2014,130240,66055,64185,7,Moderate  <100k t
Slovenia,2014,155229,91696,63533,8,Moderate  <100k t
Latvia,2014,104142,43375,60767,9,Moderate  <100k t
Bulgaria,2014,12206169,12176438,29731,10,Moderate  <100k t
Poland,2014,1681037,1876577,-195540,11,No gap / surplus capacity
Czechia,2012,1481281,753402,727879,1,Critical  >500k t
Hungary,2012,700246,376811,323435,2,High  100k-500k t
Poland,2012,1737024,1434985,302039,3,High  100k-500k t
Slovakia,2012,370223,199393,170830,4,High  100k-500k t
Romania,2012,689251,620287,68964,5,Moderate  <100k t
Lithuania,2012,136786,70246,66540,6,Moderate  <100k t
Slovenia,2012,133334,73702,59632,7,Moderate  <100k t
Latvia,2012,95115,41749,53366,8,Moderate  <100k t
Croatia,2012,121419,73404,48015,9,Moderate  <100k t
Estonia,2012,9159140,9131275,27865,10,Moderate  <100k t
Bulgaria,2012,13407042,13389620,17422,11,Moderate  <100k t
Czechia,2010,1362864,831600,531264,1,Critical  >500k t
Romania,2010,695689,431080,264609,2,High  100k-500k t
Slovakia,2010,415479,223808,191671,3,High  100k-500k t
Hungary,2010,540599,373999,166600,4,High  100k-500k t
Lithuania,2010,105323,48853,56470,5,Moderate  <100k t
Estonia,2010,8961708,8928558,33150,6,Moderate  <100k t
Slovenia,2010,117180,100898,16282,7,Moderate  <100k t
Latvia,2010,67907,54193,13714,8,Moderate  <100k t
Croatia,2010,72553,68554,3999,9,Moderate  <100k t
Bulgaria,2010,13553483,13561160,-7677,10,No gap / surplus capacity
Poland,2010,1491845,1577966,-86121,11,No gap / surplus capacity
Romania,2008,520739,259924,260815,1,High  100k-500k t
Croatia,2008,219044,18364,200680,2,High  100k-500k t
Czechia,2008,1029277,834798,194479,3,High  100k-500k t
Slovakia,2008,482631,355772,126859,4,High  100k-500k t
Lithuania,2008,107381,19927,87454,5,Moderate  <100k t
Slovenia,2008,143545,116326,27219,6,Moderate  <100k t
Hungary,2008,456542,449610,6932,7,Moderate  <100k t
Bulgaria,2008,13041733,13037033,4700,8,Moderate  <100k t
Latvia,2008,66773,67877,-1104,9,No gap / surplus capacity
Estonia,2008,7526406,7708801,-182395,10,No gap / surplus capacity
Poland,2008,1153627,1624573,-470946,11,No gap / surplus capacity
Czechia,2006,909851,572497,337354,1,High  100k-500k t
Romania,2006,1041178,867602,173576,2,High  100k-500k t
Slovakia,2006,479470,367801,111669,3,High  100k-500k t
Bulgaria,2006,13550615,13474505,76110,4,Moderate  <100k t
Lithuania,2006,87203,28101,59102,5,Moderate  <100k t
Slovenia,2006,113557,87308,26249,6,Moderate  <100k t
Latvia,2006,65052,52242,12810,7,Moderate  <100k t
Poland,2006,2178125,2277779,-99654,8,No gap / surplus capacity
Estonia,2006,6613406,6864430,-251024,9,No gap / surplus capacity
Croatia,2006,332279,623383,-291104,10,No gap / surplus capacity
Hungary,2006,525822,1179859,-654037,11,No gap / surplus capacity
Hungary,2004,1102642,325032,777610,1,Critical  >500k t
Romania,2004,2292012,1697100,594912,2,Critical  >500k t
Czechia,2004,1146503,648497,498006,3,High  100k-500k t
Estonia,2004,7328288,7180381,147907,4,High  100k-500k t
Croatia,2004,99127,42636,56491,5,Moderate  <100k t
Lithuania,2004,90146,38081,52065,6,Moderate  <100k t
Slovenia,2004,107292,99042,8250,7,Moderate  <100k t
Latvia,2004,16547,57791,-41244,8,No gap / surplus capacity
Poland,2004,1524042,1575748,-51706,9,No gap / surplus capacity
Slovakia,2004,380224,439390,-59166,10,No gap / surplus capacity
Bulgaria,2004,11897793,12090994,-193201,11,No gap / surplus capacity
